K=n-1;0,85;0,9;0,95;0,975;0,98;0,99
3;1,25;1,64;2,35;3,18;3,45;4,54
4;1,19;1,53;2,13;2,78;3,02;3,75
5;1,16;1,48;2,01;2,57;2,74;3,36
6;1,13;1,44;1,94;2,45;2,63;3,14
7;1,12;1,41;1,9;2,37;2,54;3
8;1,11;1,4;1,86;2,31;2,49;2,9
9;1,1;1,38;1,83;2,26;2,44;2,82
10;1,1;1,37;1,81;2,23;2,4;2,76
11;1,09;1,36;1,8;2,2;2,36;2,72
12;1,08;1,36;1,78;2,18;2,33;2,68
13;1,08;1,35;1,77;2,16;2,3;2,65
14;1,08;1,34;1,76;2,15;2,28;2,62
15;1,07;1,34;1,75;2,13;2,27;2,6
16;1,07;1,34;1,75;2,12;2,26;2,58
17;1,07;1,33;1,74;2,11;2,25;2,57
18;1,07;1,33;1,73;2,1;2,24;2,55
19;1,07;1,33;1,73;2,09;2,23;2,54
20;1,06;1,32;1,72;2,09;2,22;2,53
25;1,06;1,32;1,71;2,06;2,19;2,49
30;1,05;1,31;1,7;2,04;2,17;2,46
40;1,05;1,3;1,68;2,02;2,14;2,42
60;1,05;1,3;1,67;2;2,12;2,39
