depth_m;q_MPa;f_kPa;soil_type
2,3;2,8;0,8;sand
2,4;13,8;20;sand
2,5;11,7;41;sand
2,6;16;47;sand
2,7;17,5;49;sand
2,8;18,1;51;sand
2,9;18,2;48;sand
3;18,8;47;sand
3,1;20,7;56;sand
3,2;22,4;50;sand
3,3;21,9;64;sand
3,4;24,3;71;sand
3,5;21,8;73;sand
3,6;18,8;59;sand
3,7;15,4;51;sand
3,8;12,2;35;sand
3,9;9,3;29;sand
4;6,7;30;sand
4,1;6,6;39;sand
4,2;7,5;39;sand
4,3;7,1;35;sand
4,4;8,8;25;sand
4,5;10,7;23;sand
4,6;12,3;28;sand
4,7;12,6;29;sand
4,8;16,6;28;sand
4,9;7,7;35;sand
5;2,5;62;sand
5,1;1,8;60;clay
5,2;1,3;50;clay
5,3;0,9;47;clay
5,4;0,6;39;clay
5,5;0,5;28;clay
5,6;0,4;20;clay
5,7;0,4;15;clay
5,8;0,4;13;clay
5,9;0,3;12;clay
6;0,3;11;clay
6,1;0,4;11;clay
6,2;0,6;10;clay
6,3;0,7;10;clay
6,4;0,6;20;clay
6,5;0,6;20;clay
6,6;0,7;18;clay
6,7;0,5;13;clay
6,8;0,5;13;clay
6,9;0,5;13;clay
7;0,5;12;clay
7,1;0,6;11;clay
7,2;0,6;10;clay
7,3;0,6;10;clay
7,4;0,7;16;clay
7,5;0,9;13;clay
7,6;0,8;13;clay
7,7;0,7;12;clay
7,8;3,9;17;clay
7,9;4,1;24;clay
8;5,3;32;clay
8,1;4,8;39;clay
8,2;4,8;37;clay
8,3;4,8;44;clay
8,4;3,1;32;clay
8,5;7;39;clay
8,6;9,7;37;clay
8,7;12,5;44;clay
8,8;13,2;32;clay
8,9;12,5;46;clay
9;9,5;32;clay
9,1;7,9;34;clay
9,2;8,2;30;clay
9,3;6,7;26;clay
9,4;7,9;20;clay
9,5;5,1;12;clay
9,6;4,9;6;sand
9,7;4,7;4;sand
9,8;5,1;3;sand
9,9;5,6;5;sand
10;6,8;8;sand
10,1;6,4;14;sand
10,2;5,8;14;sand
10,3;5,7;11;sand
10,4;12,4;14;sand
10,5;17,2;19;sand
10,6;19,5;35;sand
10,7;18,8;47;sand
10,8;18,1;61;sand
10,9;17,6;60;sand
11;15,9;63;sand
11,1;15,3;63;sand
11,2;14,4;59;sand
11,3;16,1;54;sand
11,4;16,6;55;sand
11,5;16;57;sand
11,6;17,2;60;sand
11,7;17;67;sand
11,8;16,7;75;sand
11,9;14;82;sand
12;11,7;76;sand
12,1;10,3;64;sand
12,2;9,4;52;sand
12,3;8,9;44;sand
12,4;8,7;39;sand
12,5;8,3;35;sand
12,6;7,9;33;sand
12,7;8,2;35;sand
12,8;8,3;36;sand
12,9;8,3;38;sand
13;8,4;39;sand
13,1;8,3;38;sand
13,2;8;35;sand
13,3;9;34;sand
13,4;13,4;34;sand
13,5;12,9;44;sand
13,6;12,6;57;sand
13,7;12,9;60;sand
13,8;13;58;sand
13,9;14;58;sand
14;13,6;61;sand
14,1;12,7;61;sand
14,2;9,6;56;sand
14,3;6,3;50;sand
14,4;9,3;41;sand
14,5;11,7;39;sand
14,6;13,4;47;sand
14,7;13,6;55;sand
14,8;16,1;58;sand
14,9;16,5;55;sand
15;13,1;48;sand
15,1;10,4;47;sand
15,2;9,7;34;sand
15,3;9,6;30;sand
15,4;8,8;32;sand
15,5;8,2;29;sand
15,6;8;27;sand
15,7;8,7;28;sand
15,8;11,2;29;sand
15,9;14,9;33;sand
16;16,4;41;sand
16,1;14,2;49;sand
16,2;15,3;52;sand
16,3;20;50;sand
16,4;21,4;48;sand
16,5;17,5;65;sand
16,6;0;0;sand
16,7;0;0;sand
16,8;0;0;sand
16,9;0;0;sand
17;12,2;39;sand
17,1;11,7;40;sand
17,2;12,5;39;sand
17,3;13,6;38;sand
17,4;10,8;38;sand
17,5;9,8;37;sand
17,6;10,6;34;sand
17,7;15,6;33;sand
17,8;16,9;31;sand
17,9;12,1;29;sand
18;9,8;17;sand
18,1;12,7;20;sand
18,2;13,6;11;sand
18,3;17,9;17;sand
18,4;15,3;21;sand
18,5;18,9;30;sand
18,6;20,8;34;sand
18,7;18,5;29;sand
18,8;27,2;36;sand
18,9;26;46;sand
19;26,7;64;sand
19,1;30,4;100;sand
19,2;30,9;136;sand
19,3;29,3;161;sand
