depth_m;q_MPa;f_kPa;soil_type;;;;;;;;;;;;;;;;;
3,7;7,6;27;sand;;;;;;;;;;;;;;;;;
3,8;9,4;37;sand;;;;;;;;;;;;;;;;;
3,9;2,6;42;sand;;;;;;;;;;;;;;;;;
4;0,7;61;sand;;;;;;;;;;;;;;;;;
4,1;5,3;40;sand;;;;;;;;;;;;;;;;;
4,2;4,1;36;sand;;;;;;;;;;;;;;;;;
4,3;1,7;35;sand;;;;;;;;;;;;;;;;;
4,4;0,7;32;sand;;;;;;;;;;;;;;;;;
4,5;0,4;24;sand;;;;;;;;;;;;;;;;;
4,6;0,3;18;sand;;;;;;;;;;;;;;;;;
4,7;0,3;17;sand;;;;;;;;;;;;;;;;;
4,8;0,3;15;sand;;;;;;;;;;;;;;;;;
4,9;0,3;13;clay;;;;;;;;;;;;;;;;;
5;0,3;11;clay;;;;;;;;;;;;;;;;;
5,1;0,3;10;clay;;;;;;;;;;;;;;;;;
5,2;0,4;10;clay;;;;;;;;;;;;;;;;;
5,3;0,4;10;clay;;;;;;;;;;;;;;;;;
5,4;0,8;12;clay;;;;;;;;;;;;;;;;;
5,5;0,7;16;clay;;;;;;;;;;;;;;;;;
5,6;0,6;13;clay;;;;;;;;;;;;;;;;;
5,7;1,1;14;clay;;;;;;;;;;;;;;;;;
5,8;0,5;19;clay;;;;;;;;;;;;;;;;;
5,9;0,4;17;clay;;;;;;;;;;;;;;;;;
6;0,4;14;clay;;;;;;;;;;;;;;;;;
6,1;0,5;10;clay;;;;;;;;;;;;;;;;;
6,2;0,6;9;clay;;;;;;;;;;;;;;;;;
6,3;0,7;9;clay;;;;;;;;;;;;;;;;;
6,4;0,9;13;clay;;;;;;;;;;;;;;;;;
6,5;0,6;13;clay;;;;;;;;;;;;;;;;;
6,6;0,7;14;sand;;;;;;;;;;;;;;;;;
6,7;2,4;20;sand;;;;;;;;;;;;;;;;;
6,8;5,3;30;sand;;;;;;;;;;;;;;;;;
6,9;11,7;37;sand;;;;;;;;;;;;;;;;;
7;0,3;39;sand;;;;;;;;;;;;;;;;;
7,1;7,4;39;sand;;;;;;;;;;;;;;;;;
7,2;5,8;35;sand;;;;;;;;;;;;;;;;;
7,3;8,3;40;sand;;;;;;;;;;;;;;;;;
7,4;10,1;46;sand;;;;;;;;;;;;;;;;;
7,5;12,6;60;sand;;;;;;;;;;;;;;;;;
7,6;14,5;64;sand;;;;;;;;;;;;;;;;;
7,7;15,4;72;sand;;;;;;;;;;;;;;;;;
7,8;14,2;60;sand;;;;;;;;;;;;;;;;;
7,9;18,5;53;sand;;;;;;;;;;;;;;;;;
8;18,8;51;sand;;;;;;;;;;;;;;;;;
8,1;15,4;64;sand;;;;;;;;;;;;;;;;;
8,2;12,7;52;sand;;;;;;;;;;;;;;;;;
8,3;9,5;40;sand;;;;;;;;;;;;;;;;;
