depth_m;q_MPa;f_kPa;soil_type;;;;;;;;;;;;;;;;;
1,5;10,1;77;sand;;;;;;;;;;;;;;;;;
1,6;11,6;106;sand;;;;;;;;;;;;;;;;;
1,7;5,9;142;sand;;;;;;;;;;;;;;;;;
1,8;5,9;121;sand;;;;;;;;;;;;;;;;;
1,9;4,8;92;sand;;;;;;;;;;;;;;;;;
2;4,8;86;sand;;;;;;;;;;;;;;;;;
2,1;3;86;sand;;;;;;;;;;;;;;;;;
2,2;2;64;sand;;;;;;;;;;;;;;;;;
2,3;1,6;35;sand;;;;;;;;;;;;;;;;;
2,4;1,3;13;sand;;;;;;;;;;;;;;;;;
2,5;2,4;10;sand;;;;;;;;;;;;;;;;;
2,6;8,3;17;sand;;;;;;;;;;;;;;;;;
2,7;9,6;22;sand;;;;;;;;;;;;;;;;;
2,8;9,2;24;sand;;;;;;;;;;;;;;;;;
2,9;7,5;28;sand;;;;;;;;;;;;;;;;;
3;2,2;27;sand;;;;;;;;;;;;;;;;;
3,1;1,2;46;sand;;;;;;;;;;;;;;;;;
3,2;2,1;44;sand;;;;;;;;;;;;;;;;;
3,3;1,1;42;sand;;;;;;;;;;;;;;;;;
3,4;1,1;48;sand;;;;;;;;;;;;;;;;;
3,5;1,2;49;sand;;;;;;;;;;;;;;;;;
3,6;1,1;57;sand;;;;;;;;;;;;;;;;;
3,7;1,1;55;sand;;;;;;;;;;;;;;;;;
3,8;0,8;52;sand;;;;;;;;;;;;;;;;;
3,9;0,5;46;sand;;;;;;;;;;;;;;;;;
4;0,4;34;sand;;;;;;;;;;;;;;;;;
4,1;0,3;26;sand;;;;;;;;;;;;;;;;;
4,2;0,3;20;sand;;;;;;;;;;;;;;;;;
4,3;0,3;18;sand;;;;;;;;;;;;;;;;;
4,4;0,3;15;sand;;;;;;;;;;;;;;;;;
4,5;0,2;16;sand;;;;;;;;;;;;;;;;;
4,6;0,2;16;sand;;;;;;;;;;;;;;;;;
4,7;0,3;14;sand;;;;;;;;;;;;;;;;;
4,8;0,2;11;sand;;;;;;;;;;;;;;;;;
4,9;0,2;10;sand;;;;;;;;;;;;;;;;;
5;0,2;9;sand;;;;;;;;;;;;;;;;;
5,1;0,3;9;sand;;;;;;;;;;;;;;;;;
5,2;0,3;9;sand;;;;;;;;;;;;;;;;;
5,3;0,3;9;sand;;;;;;;;;;;;;;;;;
5,4;0,4;9;sand;;;;;;;;;;;;;;;;;
5,5;0,2;9;clay;;;;;;;;;;;;;;;;;
5,6;0,3;8;clay;;;;;;;;;;;;;;;;;
5,7;0,2;7;clay;;;;;;;;;;;;;;;;;
5,8;0,2;7;clay;;;;;;;;;;;;;;;;;
5,9;0,2;7;clay;;;;;;;;;;;;;;;;;
6;0,5;7;clay;;;;;;;;;;;;;;;;;
6,1;0,7;9;clay;;;;;;;;;;;;;;;;;
6,2;0,6;10;clay;;;;;;;;;;;;;;;;;
6,3;0,5;11;clay;;;;;;;;;;;;;;;;;
6,4;0,5;12;clay;;;;;;;;;;;;;;;;;
6,5;0,6;11;clay;;;;;;;;;;;;;;;;;
6,6;0,5;12;clay;;;;;;;;;;;;;;;;;
6,7;0,9;17;clay;;;;;;;;;;;;;;;;;
6,8;1,6;19;clay;;;;;;;;;;;;;;;;;
6,9;1,8;25;clay;;;;;;;;;;;;;;;;;
7;0,7;32;clay;;;;;;;;;;;;;;;;;
7,1;4,7;51;clay;;;;;;;;;;;;;;;;;
7,2;4,9;61;clay;;;;;;;;;;;;;;;;;
7,3;6,9;55;clay;;;;;;;;;;;;;;;;;
7,4;8,3;63;clay;;;;;;;;;;;;;;;;;
7,5;6,3;59;clay;;;;;;;;;;;;;;;;;
7,6;5;78;clay;;;;;;;;;;;;;;;;;
7,7;6,6;73;clay;;;;;;;;;;;;;;;;;
7,8;6;58;clay;;;;;;;;;;;;;;;;;
7,9;5,3;47;clay;;;;;;;;;;;;;;;;;
8;6,3;34;clay;;;;;;;;;;;;;;;;;
8,1;7,4;36;clay;;;;;;;;;;;;;;;;;
8,2;11,1;38;clay;;;;;;;;;;;;;;;;;
8,3;11,6;36;clay;;;;;;;;;;;;;;;;;
8,4;13,2;42;clay;;;;;;;;;;;;;;;;;
8,5;12,1;43;sand;;;;;;;;;;;;;;;;;
8,6;10,1;39;sand;;;;;;;;;;;;;;;;;
8,7;5,8;32;sand;;;;;;;;;;;;;;;;;
8,8;1,5;51;sand;;;;;;;;;;;;;;;;;
8,9;1,2;49;sand;;;;;;;;;;;;;;;;;
9;2,8;48;sand;;;;;;;;;;;;;;;;;
9,1;1,1;39;sand;;;;;;;;;;;;;;;;;
9,2;4,1;30;sand;;;;;;;;;;;;;;;;;
9,3;4,2;37;sand;;;;;;;;;;;;;;;;;
9,4;4,5;39;sand;;;;;;;;;;;;;;;;;
9,5;3,3;43;sand;;;;;;;;;;;;;;;;;
9,6;4,9;52;sand;;;;;;;;;;;;;;;;;
9,7;9,2;34;sand;;;;;;;;;;;;;;;;;
9,8;8;34;sand;;;;;;;;;;;;;;;;;
9,9;11,6;40;sand;;;;;;;;;;;;;;;;;
10;10,6;41;sand;;;;;;;;;;;;;;;;;
10,1;11,9;44;sand;;;;;;;;;;;;;;;;;
10,2;13,9;43;sand;;;;;;;;;;;;;;;;;
10,3;16,4;51;sand;;;;;;;;;;;;;;;;;
10,4;17,6;66;sand;;;;;;;;;;;;;;;;;
10,5;17,5;72;sand;;;;;;;;;;;;;;;;;
10,6;18;59;sand;;;;;;;;;;;;;;;;;
10,7;18,8;60;sand;;;;;;;;;;;;;;;;;
10,8;16,7;59;sand;;;;;;;;;;;;;;;;;
10,9;14,9;64;sand;;;;;;;;;;;;;;;;;
11;12,6;57;sand;;;;;;;;;;;;;;;;;
11,1;11,3;53;sand;;;;;;;;;;;;;;;;;
11,2;10,1;48;sand;;;;;;;;;;;;;;;;;
11,3;8,8;40;sand;;;;;;;;;;;;;;;;;
11,4;5,6;34;sand;;;;;;;;;;;;;;;;;
11,5;6,1;37;sand;;;;;;;;;;;;;;;;;
11,6;8;43;sand;;;;;;;;;;;;;;;;;
11,7;7,8;48;sand;;;;;;;;;;;;;;;;;
11,8;10,1;48;sand;;;;;;;;;;;;;;;;;
11,9;13,6;40;sand;;;;;;;;;;;;;;;;;
12;12,4;48;sand;;;;;;;;;;;;;;;;;
12,1;12,4;57;sand;;;;;;;;;;;;;;;;;
12,2;13,9;62;sand;;;;;;;;;;;;;;;;;
12,3;14,3;65;sand;;;;;;;;;;;;;;;;;
12,4;19;67;sand;;;;;;;;;;;;;;;;;
12,5;20,5;85;sand;;;;;;;;;;;;;;;;;
12,6;18,3;98;sand;;;;;;;;;;;;;;;;;
12,7;13,9;110;sand;;;;;;;;;;;;;;;;;
12,8;11,5;98;sand;;;;;;;;;;;;;;;;;
12,9;10,5;76;sand;;;;;;;;;;;;;;;;;
13;13,1;63;sand;;;;;;;;;;;;;;;;;
13,1;16,3;62;sand;;;;;;;;;;;;;;;;;
13,2;15,2;72;sand;;;;;;;;;;;;;;;;;
13,3;13,1;79;sand;;;;;;;;;;;;;;;;;
13,4;11,3;67;sand;;;;;;;;;;;;;;;;;
13,5;10,2;43;sand;;;;;;;;;;;;;;;;;
13,6;11,4;38;sand;;;;;;;;;;;;;;;;;
13,7;17,6;47;sand;;;;;;;;;;;;;;;;;
13,8;13,3;38;sand;;;;;;;;;;;;;;;;;
13,9;10,6;41;sand;;;;;;;;;;;;;;;;;
14;14;45;sand;;;;;;;;;;;;;;;;;
14,1;12;53;sand;;;;;;;;;;;;;;;;;
14,2;10,4;48;sand;;;;;;;;;;;;;;;;;
14,3;10,4;50;sand;;;;;;;;;;;;;;;;;
14,4;10,1;47;sand;;;;;;;;;;;;;;;;;
14,5;10,3;46;sand;;;;;;;;;;;;;;;;;
14,6;11,5;48;sand;;;;;;;;;;;;;;;;;
14,7;12,6;50;sand;;;;;;;;;;;;;;;;;
14,8;11,7;55;sand;;;;;;;;;;;;;;;;;
14,9;9,4;51;sand;;;;;;;;;;;;;;;;;
15;7,5;51;sand;;;;;;;;;;;;;;;;;
15,1;8,5;53;sand;;;;;;;;;;;;;;;;;
15,2;11,6;46;sand;;;;;;;;;;;;;;;;;
15,3;12,2;51;sand;;;;;;;;;;;;;;;;;
15,4;11,5;52;sand;;;;;;;;;;;;;;;;;
15,5;11,4;56;sand;;;;;;;;;;;;;;;;;
15,6;11,3;52;sand;;;;;;;;;;;;;;;;;
15,7;13,6;52;sand;;;;;;;;;;;;;;;;;
15,8;12;51;sand;;;;;;;;;;;;;;;;;
15,9;10,6;57;sand;;;;;;;;;;;;;;;;;
16;10,7;59;sand;;;;;;;;;;;;;;;;;
16,1;9,4;50;sand;;;;;;;;;;;;;;;;;
16,2;16;50;sand;;;;;;;;;;;;;;;;;
16,3;16;50;sand;;;;;;;;;;;;;;;;;
16,4;15,8;59;sand;;;;;;;;;;;;;;;;;
16,5;13,5;60;sand;;;;;;;;;;;;;;;;;
16,6;11,6;54;sand;;;;;;;;;;;;;;;;;
16,7;11,2;47;sand;;;;;;;;;;;;;;;;;
16,8;14,8;53;sand;;;;;;;;;;;;;;;;;
16,9;18,6;45;sand;;;;;;;;;;;;;;;;;
17;14,5;45;sand;;;;;;;;;;;;;;;;;
17,1;12;44;sand;;;;;;;;;;;;;;;;;
17,2;11,3;40;sand;;;;;;;;;;;;;;;;;
17,3;10,9;40;sand;;;;;;;;;;;;;;;;;
17,4;10,6;44;sand;;;;;;;;;;;;;;;;;
17,5;10,5;45;sand;;;;;;;;;;;;;;;;;
17,6;10,4;45;sand;;;;;;;;;;;;;;;;;
17,7;10,2;43;sand;;;;;;;;;;;;;;;;;
17,8;13,5;49;sand;;;;;;;;;;;;;;;;;
17,9;17,4;42;sand;;;;;;;;;;;;;;;;;
18;22,5;46;sand;;;;;;;;;;;;;;;;;
18,1;22,8;49;sand;;;;;;;;;;;;;;;;;
18,2;13,9;45;sand;;;;;;;;;;;;;;;;;
18,3;12,1;42;sand;;;;;;;;;;;;;;;;;
18,4;10,8;43;sand;;;;;;;;;;;;;;;;;
18,5;10,1;36;sand;;;;;;;;;;;;;;;;;
18,6;10,8;33;sand;;;;;;;;;;;;;;;;;
18,7;13,8;28;sand;;;;;;;;;;;;;;;;;
18,8;16,4;30;sand;;;;;;;;;;;;;;;;;
18,9;11,3;23;sand;;;;;;;;;;;;;;;;;
19;8,5;22;sand;;;;;;;;;;;;;;;;;
19,1;6,5;11;sand;;;;;;;;;;;;;;;;;
19,2;4,4;13;sand;;;;;;;;;;;;;;;;;
19,3;3,9;15;sand;;;;;;;;;;;;;;;;;
19,4;5,2;15;sand;;;;;;;;;;;;;;;;;
19,5;13;16;sand;;;;;;;;;;;;;;;;;
19,6;8,8;20;sand;;;;;;;;;;;;;;;;;
19,7;7,1;21;sand;;;;;;;;;;;;;;;;;
19,8;7,5;19;sand;;;;;;;;;;;;;;;;;
19,9;8,5;21;sand;;;;;;;;;;;;;;;;;
20;7,3;23;sand;;;;;;;;;;;;;;;;;
20,1;6,5;22;sand;;;;;;;;;;;;;;;;;
20,2;8,8;22;sand;;;;;;;;;;;;;;;;;
20,3;8;19;sand;;;;;;;;;;;;;;;;;
20,4;8,4;44;sand;;;;;;;;;;;;;;;;;
20,5;18,4;74;sand;;;;;;;;;;;;;;;;;
20,6;27,9;71;sand;;;;;;;;;;;;;;;;;
20,7;32,2;88;sand;;;;;;;;;;;;;;;;;
20,8;33,3;119;sand;;;;;;;;;;;;;;;;;
